Region,Crop,Variety,Rainfall (mm),Temperature (°C),Arrival (Quintals),Min Price (Rs/qtl),Max Price (Rs/qtl),Modal Price (Rs/qtl),Humidity (%),Pesticide Used (litres/ha)
Karnataka,Rice,Basmati,53.58,31.38,506.81,1317.6,1430.1,1410.1,58.34,4.82
Karnataka,Wheat,HD-2967,5.3,40.1,775.74,1088.61,1300.23,1280.23,47.09,3.69
Tamil Nadu,Onion,Nashik Red,29.06,28.96,1655.43,1038.22,1246.48,1226.48,49.6,2.77
Bihar,Tomato,Local Red,106.92,29.55,1690.15,806.16,987.48,967.48,57.7,3.16
Uttar Pradesh,Tomato,Local Red,120.04,40.24,1766.62,1695.08,1812.19,1792.19,69.67,4.06
Bihar,Wheat,HD-2967,59.06,36.72,698.44,942.7,1064.87,1044.87,41.58,2.69
Uttar Pradesh,Potato,Kufri Jyoti,91.19,34.06,2341.44,1023.08,1197.68,1177.68,45.1,4.04
Bihar,Wheat,HD-2967,26.26,26.6,649.85,1507.82,1615.27,1595.27,88.99,1.59
Uttar Pradesh,Onion,Nashik Red,13.08,26.77,2455.69,1309.37,1403.61,1383.61,77.26,3.39
Punjab,Potato,Kufri Jyoti,80.58,26.7,1967.29,1124.18,1274.11,1254.11,47.41,4.87
Karnataka,Tomato,Local Red,149.03,34.32,1893.13,1470.51,1680.16,1660.16,80.22,2.99
Tamil Nadu,Onion,Nashik Red,45.5,30.28,2111.9,1653.22,1851.8,1831.8,86.38,4.45
Uttar Pradesh,Tomato,Local Red,58.77,27.85,1732.62,794.08,900,880,74.22,2.32
Punjab,Maize,Hybrid-1,34.35,36.11,415.14,1753.44,1943.91,1923.91,85.76,4.9
Bihar,Onion,Nashik Red,89.28,27.56,1552.29,1038.99,1250.28,1230.28,84.94,1.5
Tamil Nadu,Onion,Nashik Red,115.28,30.3,2454.42,1624.82,1744.43,1724.43,46.37,3.25
Karnataka,Potato,Kufri Jyoti,110.13,32.22,2716.25,1300.62,1443.01,1423.01,41.08,3.87
Bihar,Rice,Basmati,119.87,37.32,561.04,1643.58,1842.57,1822.57,56.48,3.47
Maharashtra,Onion,Nashik Red,65.05,36.92,2693.53,1648.97,1848.04,1828.04,40.47,4.18
Tamil Nadu,Tomato,Local Red,52.11,36.31,1825.57,1137.43,1250.28,1230.28,51.92,4.57
Karnataka,Rice,Basmati,94.72,31.78,460.56,1557.5,1706.08,1686.08,48.54,4.12
Punjab,Wheat,HD-2967,9.66,27.66,492.24,1885.44,2014.43,1994.43,48.8,1.5
Maharashtra,Onion,Nashik Red,81.42,32.22,831.97,997.47,1175.89,1155.89,66.08,4.68
Tamil Nadu,Tomato,Local Red,120.42,35.13,2525.62,883.25,984.78,964.78,86.12,4.99
Bihar,Maize,Hybrid-1,55.51,30.1,604.02,1700.52,1843.62,1823.62,76.04,4.37
Karnataka,Potato,Kufri Jyoti,30.39,25.85,2182.32,809.17,936.34,916.34,46.04,1.34
Punjab,Maize,Hybrid-1,54.72,33.08,616.05,1524.26,1744.62,1724.62,44.53,3.19
Maharashtra,Rice,Basmati,36.69,30.1,522.11,1551.79,1629.65,1609.65,45.23,2.15
Bihar,Onion,Nashik Red,132.24,34,1617.65,1182.96,1263.69,1243.69,63.32,3.1
Karnataka,Tomato,Local Red,129.16,29.68,1685.43,848.7,900.97,880.97,65.79,4.54
Uttar Pradesh,Tomato,Local Red,119.23,30.83,2819.14,1285.51,1427.66,1407.66,86.12,5
Punjab,Potato,Kufri Jyoti,15.99,28.24,2688.71,1604.76,1726.17,1706.17,83.03,4.55
Tamil Nadu,Wheat,HD-2967,54.21,39.79,897.37,1574.12,1726.92,1706.92,74.32,2.06
Punjab,Maize,Hybrid-1,72.32,27.01,868.49,1380.97,1491.74,1471.74,75.01,1.37
Punjab,Onion,Nashik Red,48.72,31.18,2336.65,1288.05,1465.46,1445.46,88.45,1.79
Punjab,Tomato,Local Red,40.79,31.2,1828.5,1321.67,1468.36,1448.36,53.84,4.28
Punjab,Rice,Basmati,116.2,37.85,981.26,1510.99,1597.41,1577.41,66.89,1.07
Bihar,Onion,Nashik Red,67.72,26.3,2196.87,1634.69,1703.78,1683.78,74.52,1.93
Karnataka,Wheat,HD-2967,131.59,40.42,901.45,1478.67,1612.87,1592.87,66.28,4.12
Uttar Pradesh,Potato,Kufri Jyoti,122.01,25.62,2422.05,820.74,1044.01,1024.01,81.94,4.63
Bihar,Rice,Basmati,130.82,27.43,721.39,1535.92,1747.56,1727.56,73.39,3.54
Karnataka,Rice,Basmati,132.4,32.01,1029.94,1549.02,1695.75,1675.75,85.99,4.68
Karnataka,Rice,Basmati,64.19,39.26,766.66,1219.64,1367.99,1347.99,88.59,4.12
Tamil Nadu,Onion,Nashik Red,122.23,32.15,2618.86,837.21,982.67,962.67,70.27,2.54
Punjab,Tomato,Local Red,118.85,30.03,2866.65,1361.54,1612.39,1592.39,59.95,4.89
Tamil Nadu,Wheat,HD-2967,141.26,37.8,447.73,1749.68,1961.01,1941.01,63.52,4.61
Karnataka,Potato,Kufri Jyoti,50.16,34.82,2383.49,1049.32,1202.9,1182.9,83.23,3.19
Karnataka,Wheat,HD-2967,100.43,38.78,803.57,1705.48,1909.79,1889.79,42.29,4.94
Bihar,Rice,Basmati,10.09,24.84,745.86,1447.1,1599.09,1579.09,46.55,4.26
Punjab,Maize,Hybrid-1,120.82,25.01,873.41,1247.29,1356.25,1336.25,39.99,4.13
Bihar,Rice,Basmati,135.33,32.01,459.09,1273.49,1358.55,1338.55,64.66,2.53
Tamil Nadu,Wheat,HD-2967,121.78,39.06,595.62,1043.93,1163.81,1143.81,61.65,2.99
Bihar,Rice,Basmati,7.33,36.27,1014.85,867.18,905.66,885.66,53.2,2.39
Maharashtra,Wheat,HD-2967,17.08,28.99,837.16,843.86,1028.95,1008.95,71.05,2.89
Maharashtra,Onion,Nashik Red,18.82,24.97,2842.48,1715.33,1791.51,1771.51,70.97,1.44
Punjab,Maize,Hybrid-1,103,32.92,560.79,1041.02,1157.42,1137.42,73.94,2.22
Uttar Pradesh,Maize,Hybrid-1,128.25,27.13,373.46,1492.61,1636.66,1616.66,71.42,4.17
Karnataka,Onion,Nashik Red,58.11,27.83,2834.22,1201.28,1384.13,1364.13,46.41,3.74
Maharashtra,Potato,Kufri Jyoti,6.42,31.13,2646.51,1541.6,1626.93,1606.93,87.73,4.52
Maharashtra,Rice,Basmati,76.93,38.46,452.39,1749.77,1868.71,1848.71,45.27,1.79
Bihar,Wheat,HD-2967,122.35,27.49,637.08,989.94,1109.83,1089.83,45.02,2.54
Karnataka,Rice,Basmati,131.08,32.3,751.73,863.48,974.01,954.01,46.12,4.99
Maharashtra,Wheat,HD-2967,78.82,29.96,579.98,1628.95,1698.34,1678.34,76.36,1.38
Tamil Nadu,Potato,Kufri Jyoti,123.46,28.19,2115.57,1124.61,1314.2,1294.2,91.33,3.44
Uttar Pradesh,Rice,Basmati,73.29,31.87,696.36,1010.05,1174.14,1154.14,64.35,3.71
Bihar,Potato,Kufri Jyoti,109.55,29.79,1689.2,1136.23,1283.18,1263.18,45.99,4.43
Maharashtra,Rice,Basmati,135.33,34.82,553.04,1478.06,1516.09,1496.09,46.47,3.07
Punjab,Potato,Kufri Jyoti,24.63,26.65,1481.55,1395.57,1596.08,1576.08,88.64,3.59
Karnataka,Maize,Hybrid-1,131.48,26.35,410.99,1753.64,1848.67,1828.67,79.22,3.8
Punjab,Onion,Nashik Red,11.91,30.08,1642.11,1199.36,1314.09,1294.09,51.91,4.41
Uttar Pradesh,Wheat,HD-2967,109.42,29.18,1012.49,980.69,1143.73,1123.73,77.57,1.86
Punjab,Potato,Kufri Jyoti,21.81,26.95,1808.25,1392.67,1511.95,1491.95,83.12,3.54
Tamil Nadu,Wheat,HD-2967,20.25,36.22,1010.25,943.79,1034.32,1014.32,82.4,4.89
Punjab,Onion,Nashik Red,60.72,28.11,2691.56,1477.19,1573.33,1553.33,64.38,4.5
Punjab,Onion,Nashik Red,75.67,38.3,2068.02,1086.9,1269.38,1249.38,65.43,1.32
Punjab,Wheat,HD-2967,58.48,38.15,491.85,1659.97,1797.18,1777.18,54.33,4.9
Bihar,Maize,Hybrid-1,39.57,24.76,815.15,896.62,1049.49,1029.49,85.22,1.62
Karnataka,Wheat,HD-2967,33.11,33.8,652.85,1665.67,1733.58,1713.58,76.89,2.56
Karnataka,Rice,Basmati,111.44,25.44,641.15,1687.99,1868.36,1848.36,57.28,1.55
Punjab,Maize,Hybrid-1,59.04,32.04,1024.29,1178.88,1300.47,1280.47,42.03,1.42
Karnataka,Onion,Nashik Red,117.48,38.09,2619.75,1224.22,1298.01,1278.01,52.57,4.4
Bihar,Maize,Hybrid-1,92.01,32.16,603.28,1722.67,1905.14,1885.14,79.25,2.59
Karnataka,Rice,Basmati,27.37,36.8,474.11,840.56,996.69,976.69,48.32,4.2
Bihar,Maize,Hybrid-1,8.91,36.08,565.66,1646.35,1774.84,1754.84,71.34,1.24
Maharashtra,Rice,Basmati,28.2,39.95,577.17,1610.2,1831.04,1811.04,41.13,4.41
Tamil Nadu,Tomato,Local Red,30.83,28.15,2149.54,1506.97,1663.68,1643.68,47.44,1.27
Uttar Pradesh,Potato,Kufri Jyoti,128.18,34.57,1810.38,1611.28,1717.63,1697.63,83.11,3.21
Maharashtra,Maize,Hybrid-1,118.53,37.11,1017.96,901.4,1101.3,1081.3,91.35,4.24
Bihar,Wheat,HD-2967,71.53,39.92,962.52,1664.01,1737.73,1717.73,51.77,3.43
Maharashtra,Rice,Basmati,104.94,32.06,680.74,1316.08,1389.36,1369.36,77.59,2.63
Bihar,Onion,Nashik Red,67.71,31.86,2868.11,1654.52,1706.85,1686.85,81.61,3.99
Karnataka,Maize,Hybrid-1,98.47,32.87,677.95,1273.86,1472.61,1452.61,45.09,3.73
Uttar Pradesh,Tomato,Local Red,90.32,24.87,1679.41,835.6,993.56,973.56,85.55,3.37
Punjab,Tomato,Local Red,49.74,38.94,2330.56,1254.91,1460.42,1440.42,49.34,4.34
Punjab,Tomato,Local Red,141.93,40.21,1650.16,835.37,921.26,901.26,72.26,3.42
Punjab,Onion,Nashik Red,1.65,37.93,2566.87,1370.74,1439.46,1419.46,75.54,1.93
Tamil Nadu,Potato,Kufri Jyoti,64.23,34.8,1859.34,1515.08,1730.75,1710.75,84.8,1.87
Karnataka,Rice,Basmati,105.63,35.09,559.45,1774.82,1941.18,1921.18,63.67,2.77
Maharashtra,Tomato,Local Red,10.2,32.2,1738.35,935.72,1152.52,1132.52,58.18,2.39
Tamil Nadu,Onion,Nashik Red,62.12,31.95,2010.44,1614.68,1725.55,1705.55,87.58,1.27
Karnataka,Rice,Basmati,49.22,30.74,518.69,1326.75,1482.38,1462.38,58.44,4.9
Karnataka,Wheat,HD-2967,9.27,39.98,825.29,1120.61,1301.96,1281.96,48.05,3.54
Tamil Nadu,Onion,Nashik Red,29.9,29.23,1608.72,1040.28,1225.77,1205.77,49.44,2.76
Bihar,Tomato,Local Red,103.13,29.96,1636.22,794.26,1015.55,995.55,58.21,3.08
Uttar Pradesh,Tomato,Local Red,118.56,39.62,1821.35,1671.9,1814.11,1794.11,70.87,4.05
Bihar,Wheat,HD-2967,58.87,37.04,620.64,927.72,1083.04,1063.04,40.7,2.63
Uttar Pradesh,Potato,Kufri Jyoti,92.66,33.93,2392.85,978.06,1205.96,1185.96,44.92,4.06
Bihar,Wheat,HD-2967,25.53,27.41,661.82,1522.34,1665.12,1645.12,89.01,1.62
Uttar Pradesh,Onion,Nashik Red,11.91,26.98,2571.64,1339.27,1392.98,1372.98,77.18,3.39
Punjab,Potato,Kufri Jyoti,83.56,27.3,1895.38,1111.31,1297.56,1277.56,47.75,4.85
Karnataka,Tomato,Local Red,146.13,34.07,1865.32,1466.18,1661.06,1641.06,79.11,3.03
Tamil Nadu,Onion,Nashik Red,46.36,29.96,2124.01,1633.17,1858.7,1838.7,87.19,4.41
Uttar Pradesh,Tomato,Local Red,59.35,27.67,1808.7,805.91,909.29,889.29,75.82,2.35
Punjab,Maize,Hybrid-1,33.91,35.75,471.19,1772.13,1964.34,1944.34,84.86,4.99
Bihar,Onion,Nashik Red,90.87,28.2,1711.09,1042.75,1254.88,1234.88,84.64,1.48
Tamil Nadu,Onion,Nashik Red,115.76,30,2522.98,1632.13,1806.14,1786.14,48.05,3.23
Karnataka,Potato,Kufri Jyoti,107.55,31.96,2725.47,1277.1,1453.89,1433.89,41.65,3.78
Bihar,Rice,Basmati,119.4,37.13,521.86,1663.12,1839.1,1819.1,55.79,3.49
Maharashtra,Onion,Nashik Red,67.09,37.42,2665.38,1665.56,1834.9,1814.9,40.02,4.23
Tamil Nadu,Tomato,Local Red,53.94,36.18,1811.04,1188.32,1248.71,1228.71,52.44,4.51
Karnataka,Rice,Basmati,96.05,31.67,465.25,1527.71,1688.85,1668.85,50.05,4.19
Punjab,Wheat,HD-2967,9.78,28.18,531.23,1922.62,2015.79,1995.79,48.81,1.65
Maharashtra,Onion,Nashik Red,90.48,31.81,800.28,989.02,1196.88,1176.88,68.05,4.59
Tamil Nadu,Tomato,Local Red,121.26,35.54,2380.07,883.5,1018.08,998.08,85.82,4.82
Bihar,Maize,Hybrid-1,58,30.25,598.16,1693.92,1858.37,1838.37,75.88,4.33
Karnataka,Potato,Kufri Jyoti,26.74,26.03,2269.85,808.01,899.49,879.49,48.78,1.35
Punjab,Maize,Hybrid-1,47.82,32.75,617.49,1541.76,1724.93,1704.93,46.18,3.13
Maharashtra,Rice,Basmati,32.8,29.54,541.2,1566.16,1647.43,1627.43,43.54,2.2
Bihar,Onion,Nashik Red,136.6,34.03,1636.46,1198.82,1252.45,1232.45,62.78,3.08
Karnataka,Tomato,Local Red,125.82,30.41,1792.86,814.98,899.27,879.27,67.33,4.6
Uttar Pradesh,Tomato,Local Red,117.29,31.04,2895.06,1253.59,1430.67,1410.67,85.33,4.82
Punjab,Potato,Kufri Jyoti,14.03,28.14,2747.44,1598.68,1735.53,1715.53,83.24,4.63
Tamil Nadu,Wheat,HD-2967,55.49,40.26,872,1582.35,1735.27,1715.27,76.09,1.88
Punjab,Maize,Hybrid-1,68.91,26.91,852.3,1374.47,1468.9,1448.9,74.55,1.46
Punjab,Onion,Nashik Red,50.64,31.23,2300.48,1280.93,1444.89,1424.89,87.79,1.84
Punjab,Tomato,Local Red,45.05,30.65,1941.12,1369.99,1471.2,1451.2,53.14,4.36
Punjab,Rice,Basmati,111.56,38.27,877.82,1529.9,1618.65,1598.65,66.66,1.15
Bihar,Onion,Nashik Red,67.31,25.95,2245.65,1584.17,1701.59,1681.59,72.88,1.87
Karnataka,Wheat,HD-2967,137.71,40.02,943.28,1478.55,1623.66,1603.66,65.58,4.08
Uttar Pradesh,Potato,Kufri Jyoti,122.47,26.24,2333.36,842.84,1074.83,1054.83,81.94,4.75
Bihar,Rice,Basmati,125.88,26.87,741.04,1549.43,1710.64,1690.64,73.8,3.34
Karnataka,Rice,Basmati,125.4,32.14,987.13,1538.51,1704.32,1684.32,87.71,4.72
Karnataka,Rice,Basmati,62.97,38.66,698.04,1233.3,1367.01,1347.01,88.96,4.13
Tamil Nadu,Onion,Nashik Red,123.9,32.09,2660.56,817.3,1021.57,1001.57,69.95,2.48
Punjab,Tomato,Local Red,120.45,30.28,2974.43,1366.7,1626.62,1606.62,60.27,4.88
Tamil Nadu,Wheat,HD-2967,139.79,37.92,433.2,1747.25,1957.4,1937.4,63.28,4.51
Karnataka,Potato,Kufri Jyoti,49.9,34.91,2290.59,1022.28,1198.82,1178.82,83.69,3.14
Karnataka,Wheat,HD-2967,98.1,39.15,901.18,1697.85,1879.52,1859.52,42.91,4.78
Bihar,Rice,Basmati,8.23,24.76,677.01,1467.83,1620.16,1600.16,43.36,4.29
Punjab,Maize,Hybrid-1,123.83,24.75,893.67,1215.44,1340.77,1320.77,39.53,4.19
Bihar,Rice,Basmati,138.84,32.01,488.25,1297.23,1344.56,1324.56,63.9,2.46
Tamil Nadu,Wheat,HD-2967,119.44,39.02,618.53,1046.11,1099.19,1079.19,61.8,3.13
Bihar,Rice,Basmati,4.75,35.83,919.8,833.9,921.04,901.04,52.18,2.52
Maharashtra,Wheat,HD-2967,18.56,28.89,869.7,863.3,1013.91,993.91,69.86,2.92
Maharashtra,Onion,Nashik Red,24.25,24.95,2966.87,1742.38,1806.44,1786.44,70.31,1.53
Punjab,Maize,Hybrid-1,98.07,32.9,580.56,1054.67,1165.66,1145.66,73.41,2.28
Uttar Pradesh,Maize,Hybrid-1,129.17,27.27,359.49,1470.43,1606.83,1586.83,72.07,4.11
Karnataka,Onion,Nashik Red,59.52,28.04,2839.16,1186.38,1357.35,1337.35,44.21,3.59
Maharashtra,Potato,Kufri Jyoti,9.24,31.21,2764.94,1562.74,1655.79,1635.79,86.66,4.65
Maharashtra,Rice,Basmati,82.06,37.49,532.06,1738.75,1894.19,1874.19,44.98,1.79
Bihar,Wheat,HD-2967,125.01,26.72,617.84,1020.49,1092.69,1072.69,46.85,2.67
Karnataka,Rice,Basmati,127.75,32.06,742.78,869.66,966.08,946.08,43.91,4.94
Maharashtra,Wheat,HD-2967,72.54,30.19,570.18,1585.79,1724.14,1704.14,76.33,1.31
Tamil Nadu,Potato,Kufri Jyoti,125.93,28.13,2002.96,1141.12,1328.11,1308.11,90.95,3.42
Uttar Pradesh,Rice,Basmati,76.58,32.27,684.33,1006.66,1160.79,1140.79,62.58,3.73
Bihar,Potato,Kufri Jyoti,117.08,29.96,1686.85,1115.65,1254.79,1234.79,46.8,4.36
Maharashtra,Rice,Basmati,129.76,35.4,534.08,1452.52,1538.66,1518.66,46.68,3.11
Punjab,Potato,Kufri Jyoti,17.71,26.55,1567.86,1396.27,1572.79,1552.79,87.54,3.78
Karnataka,Maize,Hybrid-1,130.44,26.3,447.07,1771.48,1868.08,1848.08,79.53,3.88
Punjab,Onion,Nashik Red,13.36,30.52,1622.21,1214.28,1307.49,1287.49,52.12,4.5
Uttar Pradesh,Wheat,HD-2967,108.04,28.9,1016.28,1015.22,1148.66,1128.66,77.68,1.85
Punjab,Potato,Kufri Jyoti,17.7,27,1814.89,1390.59,1521.29,1501.29,81.36,3.55
Tamil Nadu,Wheat,HD-2967,19.39,35.7,1003.92,931.69,1038.84,1018.84,81.9,5.07
Punjab,Onion,Nashik Red,61.49,27.82,2681.68,1465.74,1571.77,1551.77,64.34,4.46
Punjab,Onion,Nashik Red,79.42,38.01,2030,1059.18,1263.98,1243.98,65.55,1.22
Punjab,Wheat,HD-2967,55.39,37.81,461,1680.72,1756.86,1736.86,55.23,4.87
Bihar,Maize,Hybrid-1,40.21,25.13,744.96,917.19,1047.42,1027.42,85.42,1.72
Karnataka,Wheat,HD-2967,30.24,33.99,606.34,1643.54,1742.57,1722.57,76.2,2.48
Karnataka,Rice,Basmati,112.06,25.02,663.86,1713.49,1883.07,1863.07,55.2,1.44
Punjab,Maize,Hybrid-1,57.37,31.73,974.72,1168.97,1324.19,1304.19,41.16,1.29
Karnataka,Onion,Nashik Red,113.79,37.84,2599.24,1232.23,1300.32,1280.32,55.24,4.47
Bihar,Maize,Hybrid-1,90.85,31.66,550.77,1764.18,1946.23,1926.23,79.43,2.64
Karnataka,Rice,Basmati,24.45,37.26,453.44,817.22,976.26,956.26,48.09,4.04
Bihar,Maize,Hybrid-1,11.34,36.24,638.7,1652.38,1785.62,1765.62,70.56,1.11
Maharashtra,Rice,Basmati,27.05,40.12,498.06,1646.19,1824.68,1804.68,41.49,4.35
Tamil Nadu,Tomato,Local Red,28.72,27.9,2113.11,1503.86,1676.4,1656.4,47.03,1.17
Uttar Pradesh,Potato,Kufri Jyoti,122.03,35.35,1783.5,1606.32,1709.58,1689.58,82.35,3.21
Maharashtra,Maize,Hybrid-1,118.8,36.71,953.6,902.98,1069.57,1049.57,89.72,4.24
Bihar,Wheat,HD-2967,70.6,39.88,958.46,1679.68,1710.86,1690.86,53.68,3.55
Maharashtra,Rice,Basmati,101.25,32.08,684.12,1310.89,1392.88,1372.88,78.96,2.51
Bihar,Onion,Nashik Red,63.59,31.99,2762.07,1638.62,1709.82,1689.82,79.94,3.98
Karnataka,Maize,Hybrid-1,94.79,32.66,615.12,1239.54,1483.52,1463.52,45.29,3.8
Uttar Pradesh,Tomato,Local Red,88.55,24.77,1686.63,814.1,972.96,952.96,83.57,3.35
Punjab,Tomato,Local Red,49.55,38.89,2381.2,1296.27,1515.37,1495.37,48.82,4.36
Punjab,Tomato,Local Red,141.88,39.87,1751.92,815.31,938.71,918.71,72.32,3.46
Punjab,Onion,Nashik Red,5.37,37.96,2647.3,1367.51,1467.16,1447.16,75.78,1.97
Tamil Nadu,Potato,Kufri Jyoti,63.81,34.79,1856.4,1502.25,1735.17,1715.17,86.14,1.9
Karnataka,Rice,Basmati,103.25,35.2,478.81,1774,1958.94,1938.94,64.04,2.67
Maharashtra,Tomato,Local Red,11.17,32.37,1738.77,936.07,1166.19,1146.19,57.87,2.53
Tamil Nadu,Onion,Nashik Red,67.11,31.75,2029.52,1623.28,1713.61,1693.61,87.37,1.25
Karnataka,Rice,Basmati,52.56,30.89,563.44,1343.63,1470.96,1450.96,59.01,4.98
Karnataka,Wheat,HD-2967,6.15,40.42,774.08,1126.7,1297.7,1277.7,47.89,3.53
Tamil Nadu,Onion,Nashik Red,28.3,28.7,1594.8,1026.62,1242.16,1222.16,47.89,2.88
Bihar,Tomato,Local Red,104.27,30.01,1653.31,778.99,1031.95,1011.95,56.12,3.16
Uttar Pradesh,Tomato,Local Red,121.61,40.04,1832.98,1667.05,1765.5,1745.5,71.2,4.08
Bihar,Wheat,HD-2967,60.32,37.21,650.54,943.54,1072.47,1052.47,41.27,2.68
Uttar Pradesh,Potato,Kufri Jyoti,95.87,33.73,2387.63,991.23,1174.46,1154.46,44.87,4.06
Bihar,Wheat,HD-2967,27.9,26.76,649.81,1538.88,1640.42,1620.42,90.83,1.74
Uttar Pradesh,Onion,Nashik Red,12.78,26.59,2363.6,1319.2,1400.38,1380.38,76.94,3.35
Punjab,Potato,Kufri Jyoti,80.3,27.38,1877.95,1125.36,1314.79,1294.79,46.64,4.76
Karnataka,Tomato,Local Red,148.67,34.12,1737.96,1478.59,1662.92,1642.92,79.24,2.96
Tamil Nadu,Onion,Nashik Red,40.55,29.92,2162.02,1671.3,1818.87,1798.87,86.38,4.46
Uttar Pradesh,Tomato,Local Red,57.9,27.49,1679.23,804.65,920.91,900.91,76.1,2.25
Punjab,Maize,Hybrid-1,35.1,36.23,491.71,1768.38,1967.23,1947.23,86.83,4.94
Bihar,Onion,Nashik Red,85.03,27.86,1542.18,1043.22,1277.91,1257.91,86.12,1.51
Tamil Nadu,Onion,Nashik Red,112.34,29.9,2482.83,1663.82,1776.2,1756.2,44.75,3.25
Karnataka,Potato,Kufri Jyoti,108.81,31.8,2710.95,1313.39,1450.46,1430.46,40.99,3.84
Bihar,Rice,Basmati,117.37,37.27,496.62,1655.5,1829.18,1809.18,55.34,3.55
Maharashtra,Onion,Nashik Red,68.16,37.17,2683.14,1649.35,1856.42,1836.42,40.75,4.3
Tamil Nadu,Tomato,Local Red,54.87,36.25,1774.91,1183.71,1265.37,1245.37,50.56,4.53
Karnataka,Rice,Basmati,95.63,31.83,466.06,1515.41,1694.25,1674.25,49.33,4.16
Punjab,Wheat,HD-2967,10.05,27.89,549.38,1910.54,2025.02,2005.02,50.37,1.68
Maharashtra,Onion,Nashik Red,85.55,32,827.5,1030.04,1148.46,1128.46,67.16,4.7
Tamil Nadu,Tomato,Local Red,119.44,35.07,2517.06,894.46,1012.12,992.12,87.21,4.71
Bihar,Maize,Hybrid-1,58.9,29.62,609.6,1676.37,1810.07,1790.07,76.87,4.41
Karnataka,Potato,Kufri Jyoti,27.9,25.62,2283.68,805.29,912.06,892.06,46.46,1.36
Punjab,Maize,Hybrid-1,48.7,32.53,712.61,1543.87,1745.83,1725.83,45.35,3.25
Maharashtra,Rice,Basmati,37.44,30.26,426.16,1568.1,1648.21,1628.21,44.51,2.08
Bihar,Onion,Nashik Red,135.79,33.99,1597.37,1194.18,1259.74,1239.74,63.05,3.03
Karnataka,Tomato,Local Red,126.48,30.1,1677.6,831.81,889.67,869.67,66.38,4.6
Uttar Pradesh,Tomato,Local Red,116.24,30.54,2762.88,1248.95,1394.9,1374.9,85.08,4.98
Punjab,Potato,Kufri Jyoti,11.97,28.15,2729.5,1586.71,1716.89,1696.89,82.36,4.57
Tamil Nadu,Wheat,HD-2967,54.09,39.81,910.85,1592.99,1717.23,1697.23,76.44,2.12
Punjab,Maize,Hybrid-1,67.94,26.68,869.03,1374.49,1460.35,1440.35,74.31,1.44
Punjab,Onion,Nashik Red,53.52,31.32,2273.16,1289.91,1440.38,1420.38,88.8,1.8
Punjab,Tomato,Local Red,43.28,31.14,1949.31,1372.64,1495.6,1475.6,52.68,4.43
Punjab,Rice,Basmati,116.12,38.14,941.27,1509.49,1617.6,1597.6,67.18,1.04
Bihar,Onion,Nashik Red,70.17,26.44,2280.07,1608.63,1705.18,1685.18,73.31,1.89
Karnataka,Wheat,HD-2967,135.79,40.28,942.35,1471.27,1594.3,1574.3,66.21,4.09
Uttar Pradesh,Potato,Kufri Jyoti,124.59,25.79,2333.38,856.51,1085.87,1065.87,80.5,4.66
Bihar,Rice,Basmati,132.44,27.08,733.11,1541.48,1698.51,1678.51,71.98,3.44
Karnataka,Rice,Basmati,131.34,31.82,1008.41,1543.51,1725.48,1705.48,86.96,4.59
Karnataka,Rice,Basmati,67.08,38.66,739.88,1238.36,1372.29,1352.29,89.31,4.04
Tamil Nadu,Onion,Nashik Red,124.07,31.61,2630.86,849.5,993.32,973.32,70.23,2.56
Punjab,Tomato,Local Red,120.82,29.74,2895.63,1378.99,1635.64,1615.64,60.07,4.8
Tamil Nadu,Wheat,HD-2967,141.23,37.84,484.84,1767.88,1970.45,1950.45,63.6,4.66
Karnataka,Potato,Kufri Jyoti,50.13,35.15,2269.17,1002.37,1222.13,1202.13,81.42,3.14
Karnataka,Wheat,HD-2967,102.04,39.21,921.7,1682.2,1875.55,1855.55,43.03,4.96
Bihar,Rice,Basmati,7.89,24.9,652.01,1464.86,1627.67,1607.67,44.94,4.42
Punjab,Maize,Hybrid-1,127.18,25.2,888.53,1213.17,1345.36,1325.36,41.03,4.12
Bihar,Rice,Basmati,141.35,32.1,494.59,1263.84,1373.12,1353.12,65.85,2.5
Tamil Nadu,Wheat,HD-2967,116.46,38.94,566,1056.27,1123.42,1103.42,61.66,3.05
Bihar,Rice,Basmati,5.98,35.67,920.46,841.77,881.03,861.03,54,2.37
Maharashtra,Wheat,HD-2967,22.95,28.88,892.5,869.59,1051.96,1031.96,70.21,2.88
Maharashtra,Onion,Nashik Red,24.57,25.16,2820.35,1718.53,1809.68,1789.68,70.93,1.48
Punjab,Maize,Hybrid-1,93.8,32.77,638.57,1064.56,1145.33,1125.33,72.92,2.4
Uttar Pradesh,Maize,Hybrid-1,129.13,27.4,409.93,1486.81,1647.19,1627.19,72.43,4.16
Karnataka,Onion,Nashik Red,60.57,28.12,2837.31,1184.37,1407.19,1387.19,47.26,3.79
Maharashtra,Potato,Kufri Jyoti,7.8,31.27,2681.74,1552.26,1658.75,1638.75,85.02,4.53
Maharashtra,Rice,Basmati,83.03,37.82,585.39,1722.88,1882.4,1862.4,43.35,1.66
Bihar,Wheat,HD-2967,123.56,26.73,587.38,965.34,1124.11,1104.11,45.54,2.51
Karnataka,Rice,Basmati,130.59,31.89,797.13,879.7,991.64,971.64,45.6,4.92
Maharashtra,Wheat,HD-2967,73.85,29.76,542.97,1574.07,1708.13,1688.13,76.05,1.42
Tamil Nadu,Potato,Kufri Jyoti,121.3,28.12,2040.93,1139.83,1312.48,1292.48,88.74,3.44
